Age,Annual_Income,Years_Experience,Family_Size,Education,Mortgage,Credit_Score,Credit_Card_Spending,Online_Banking,Fixed_Deposit,City_Tier,Loan_Approved
41,119758,17,1,Graduate,99594,745,99379,Yes,No,Tier-2,No
21,66975,0,5,Graduate,166704,779,59679,Yes,Yes,Tier-2,Yes
44,215347,22,3,Postgraduate,405964,600,99856,No,No,Tier-1,No
51,28373,29,5,Graduate,0,534,29350,Yes,Yes,Tier-3,Yes
54,82458,33,4,Postgraduate,213532,716,62692,No,No,Tier-2,Yes
55,139352,32,4,Graduate,127932,595,61031,No,No,Tier-1,No
43,137856,20,1,Graduate,110883,716,52517,Yes,Yes,Tier-1,Yes
39,193011,18,4,Professional,540478,551,56098,Yes,Yes,Tier-1,Yes
41,143324,14,1,Graduate,188942,830,8801,No,No,Tier-3,No
58,26542,32,5,Graduate,351035,782,21065,Yes,No,Tier-1,No
21,239357,0,1,Professional,63786,681,28790,Yes,No,Tier-1,No
33,242841,9,2,Postgraduate,124386,816,27470,Yes,No,Tier-2,Yes
45,58591,24,5,Professional,176891,728,93362,Yes,Yes,Tier-1,Yes
35,77638,14,5,Postgraduate,151511,758,21087,Yes,No,Tier-3,Yes
58,150899,34,5,Graduate,131073,685,33921,Yes,No,Tier-1,No
37,194160,16,5,Postgraduate,0,719,99007,Yes,No,Tier-3,Yes
25,75990,4,2,Graduate,167046,504,3015,Yes,No,Tier-3,No
41,48833,14,1,Professional,274459,782,88704,No,No,Tier-2,Yes
26,37763,5,5,Professional,150629,552,12916,No,No,Tier-1,No
21,70106,0,5,Graduate,155637,787,94193,Yes,Yes,Tier-2,Yes
23,119074,1,4,Postgraduate,199645,754,21758,Yes,No,Tier-2,No
59,106317,35,2,Graduate,311050,597,75553,Yes,No,Tier-3,No
58,212872,31,4,Graduate,378708,784,41811,Yes,No,Tier-2,No
25,248777,0,5,Graduate,177312,625,38586,Yes,Yes,Tier-2,Yes
36,227846,13,4,Graduate,239684,694,35434,Yes,Yes,Tier-1,No
25,243577,1,2,Graduate,115116,825,18907,Yes,No,Tier-2,No
29,48321,8,1,Postgraduate,2873,547,54796,Yes,No,Tier-1,No
35,156374,8,2,Postgraduate,154999,577,46247,Yes,Yes,Tier-1,Yes
23,43030,0,3,Postgraduate,134649,726,36674,Yes,Yes,Tier-1,No
37,120462,11,2,Postgraduate,35335,524,5596,Yes,No,Tier-2,No
56,51069,34,1,Postgraduate,0,679,56553,Yes,Yes,Tier-2,Yes
53,141148,27,5,Graduate,13696,611,29139,No,Yes,Tier-3,Yes
29,169118,6,3,Graduate,170875,574,89886,No,Yes,Tier-1,Yes
22,25846,0,2,Graduate,258944,799,8469,No,No,Tier-1,No
32,152534,11,2,Postgraduate,151554,832,49362,Yes,Yes,Tier-1,No
22,141748,0,4,Graduate,44916,600,21216,Yes,No,Tier-2,No
51,131288,26,4,Professional,194537,636,67441,Yes,Yes,Tier-2,Yes
49,33007,26,1,Postgraduate,77521,815,90861,No,Yes,Tier-1,Yes
24,173056,0,2,Graduate,119985,513,41711,Yes,Yes,Tier-2,Yes
45,92728,24,2,Postgraduate,306126,603,94263,Yes,Yes,Tier-3,Yes
28,243559,4,5,Graduate,207549,656,12789,No,No,Tier-2,No
24,44029,2,2,Graduate,339963,829,45872,Yes,No,Tier-1,No
35,45103,10,5,Graduate,265662,594,41666,Yes,No,Tier-2,No
30,101325,4,2,Professional,266826,717,77916,Yes,Yes,Tier-1,Yes
32,195987,8,4,Postgraduate,77682,550,46327,No,No,Tier-1,Yes
46,157717,22,1,Graduate,306221,554,41282,Yes,No,Tier-1,No
46,38224,23,4,Postgraduate,122414,709,10666,Yes,No,Tier-1,No
44,92526,20,5,Professional,225376,676,39148,Yes,No,Tier-1,No
27,95480,3,1,Graduate,54106,688,64823,Yes,No,Tier-1,No
39,118501,13,5,Postgraduate,130255,785,74847,Yes,Yes,Tier-2,Yes
22,162717,0,1,Graduate,8696,763,14342,No,No,Tier-1,No
53,238046,29,2,Professional,174444,507,78534,Yes,Yes,Tier-2,Yes
57,97258,34,1,Postgraduate,253435,587,33821,Yes,No,Tier-3,No
41,111925,14,2,Graduate,224807,762,18032,Yes,Yes,Tier-1,No
38,164777,17,5,Graduate,65478,618,16596,Yes,No,Tier-1,No
55,145307,33,4,Graduate,0,701,50285,Yes,No,Tier-2,Yes
37,27573,16,2,Postgraduate,75257,734,53693,No,No,Tier-1,Yes
31,81133,9,5,Postgraduate,99822,540,33653,Yes,No,Tier-2,No
42,217468,19,1,Graduate,41210,736,49924,Yes,No,Tier-2,Yes
22,126371,0,3,Graduate,251333,680,13555,No,Yes,Tier-3,No
56,247320,33,3,Professional,212384,568,91399,Yes,Yes,Tier-1,Yes
37,146789,14,5,Graduate,135801,700,34921,Yes,Yes,Tier-1,Yes
60,80337,39,3,Postgraduate,225888,601,90929,Yes,Yes,Tier-3,Yes
37,205553,16,1,Graduate,266706,817,46623,No,No,Tier-3,Yes
36,83053,15,2,Graduate,201554,781,58276,Yes,Yes,Tier-1,Yes
28,239513,5,5,Graduate,174922,602,89312,Yes,No,Tier-2,No
23,159055,1,4,Postgraduate,171050,709,96223,Yes,No,Tier-2,Yes
54,150341,31,5,Postgraduate,316630,595,71346,Yes,Yes,Tier-1,Yes
36,110431,12,1,Postgraduate,0,564,34733,Yes,No,Tier-1,No
38,137573,13,1,Graduate,0,572,6494,Yes,No,Tier-1,No
57,193645,30,3,Professional,132097,848,83470,Yes,No,Tier-1,No
46,238928,25,2,Postgraduate,70870,761,83412,Yes,No,Tier-3,Yes
55,181497,29,1,Graduate,83733,619,35660,Yes,No,Tier-2,No
23,68642,0,5,Professional,225951,725,27931,Yes,Yes,Tier-3,Yes
54,50559,30,3,Postgraduate,49090,815,11903,Yes,Yes,Tier-3,Yes
52,140005,27,3,Postgraduate,149006,555,13303,Yes,No,Tier-1,No
39,44623,15,1,Graduate,94259,544,99624,No,Yes,Tier-2,No
25,73874,0,2,Graduate,35960,530,49638,Yes,No,Tier-1,No
38,174859,16,5,Postgraduate,172931,516,33966,Yes,Yes,Tier-3,Yes
39,203589,12,2,Graduate,155572,818,3435,Yes,No,Tier-1,No
52,201611,30,4,Graduate,106445,692,22953,Yes,No,Tier-3,No
32,102475,9,3,Postgraduate,170956,506,59372,Yes,Yes,Tier-2,Yes
43,200641,21,2,Professional,0,538,70878,No,No,Tier-1,Yes
34,77307,8,3,Graduate,0,836,46413,Yes,No,Tier-3,No
40,73901,17,1,Graduate,16009,514,78961,Yes,Yes,Tier-2,No
35,179091,12,4,Graduate,9438,644,38444,No,No,Tier-3,No
23,217860,0,5,Professional,346573,839,36531,Yes,Yes,Tier-1,Yes
22,79615,0,5,Graduate,330124,776,28589,Yes,No,Tier-2,No
45,89288,21,1,Graduate,33962,575,54269,Yes,No,Tier-2,No
30,230735,8,4,Graduate,144274,724,29424,No,Yes,Tier-3,Yes
59,133737,33,2,Postgraduate,81458,804,53047,Yes,No,Tier-1,Yes
59,150150,38,2,Professional,218709,827,28289,Yes,No,Tier-2,Yes
31,202235,7,2,Postgraduate,80435,687,97081,Yes,No,Tier-2,Yes
45,104148,22,2,Graduate,147107,737,54579,Yes,No,Tier-2,Yes
38,231789,16,3,Graduate,14660,534,47500,Yes,Yes,Tier-1,Yes
50,137340,23,2,Postgraduate,217713,792,80339,Yes,No,Tier-2,Yes
52,221200,28,2,Postgraduate,279441,761,47350,Yes,No,Tier-3,Yes
38,151503,13,1,Graduate,145378,507,28723,No,Yes,Tier-1,No
57,89324,31,5,Graduate,126007,513,72135,Yes,No,Tier-1,No
45,248224,21,2,Professional,48297,760,15760,No,Yes,Tier-3,Yes
31,208305,8,2,Graduate,43560,632,81530,No,Yes,Tier-1,Yes
57,207958,32,4,Graduate,200896,619,28155,Yes,No,Tier-2,No
40,176409,14,2,Graduate,1519,744,31856,Yes,Yes,Tier-1,Yes
44,221733,22,1,Postgraduate,225509,684,17398,Yes,No,Tier-2,No
40,64062,14,5,Graduate,157662,507,12225,Yes,No,Tier-1,No
42,73320,15,2,Graduate,164470,613,30625,Yes,No,Tier-2,Yes
28,193280,2,4,Postgraduate,226647,552,44287,Yes,Yes,Tier-2,Yes
26,30704,5,1,Professional,12839,768,29208,Yes,Yes,Tier-1,Yes
58,54165,34,3,Postgraduate,236575,838,19772,No,Yes,Tier-2,No
35,114152,11,2,Graduate,226247,815,33324,Yes,Yes,Tier-1,Yes
46,134834,23,2,Postgraduate,527036,827,37631,No,No,Tier-3,Yes
25,106889,0,4,Graduate,153963,542,93055,Yes,No,Tier-2,No
41,189246,18,5,Professional,162504,770,47379,No,No,Tier-1,Yes
47,198724,20,4,Postgraduate,142488,643,56691,Yes,No,Tier-3,Yes
50,139014,26,2,Postgraduate,80251,740,92025,Yes,No,Tier-2,Yes
21,177747,0,2,Graduate,42538,640,82758,Yes,No,Tier-2,No
35,106929,13,1,Postgraduate,116961,653,36084,Yes,No,Tier-3,No
45,90681,22,4,Graduate,240165,741,66174,Yes,No,Tier-2,No
42,102231,17,3,Postgraduate,0,577,59784,Yes,No,Tier-1,No
23,149457,0,5,Postgraduate,182130,740,57754,No,Yes,Tier-1,Yes
52,247374,27,4,Graduate,17906,695,74240,No,No,Tier-1,No
28,81549,6,3,Postgraduate,64644,557,76069,Yes,No,Tier-2,No
54,34686,28,4,Graduate,216999,832,50604,Yes,Yes,Tier-2,Yes
36,93619,15,4,Professional,159120,502,83437,Yes,No,Tier-1,No
60,218783,36,1,Postgraduate,428319,730,6895,Yes,No,Tier-2,Yes
34,172235,13,2,Graduate,197198,840,37585,No,No,Tier-1,Yes
43,43073,19,2,Postgraduate,149271,841,72971,No,Yes,Tier-3,Yes
38,112468,15,2,Professional,250618,633,54290,No,Yes,Tier-1,Yes
22,212226,0,3,Graduate,156064,524,76520,Yes,Yes,Tier-2,Yes
36,193757,10,5,Graduate,170459,524,73308,Yes,Yes,Tier-1,Yes
24,65108,0,4,Professional,0,833,30179,Yes,Yes,Tier-2,Yes
22,248894,0,3,Postgraduate,72416,765,57677,No,Yes,Tier-2,Yes
39,69936,16,5,Graduate,76391,579,25291,Yes,No,Tier-1,No
49,123723,25,2,Graduate,113703,615,59022,Yes,Yes,Tier-1,Yes
34,56174,9,5,Postgraduate,146413,718,8548,Yes,Yes,Tier-2,Yes
59,247084,38,5,Graduate,129082,741,58532,Yes,Yes,Tier-1,Yes
31,160870,6,4,Graduate,103248,581,23223,No,No,Tier-3,No
33,142360,12,1,Postgraduate,216459,628,66641,Yes,Yes,Tier-3,No
60,246972,36,3,Graduate,36153,578,75616,Yes,No,Tier-1,No
21,178686,0,5,Graduate,0,586,65530,Yes,No,Tier-1,Yes
40,113340,18,4,Graduate,231631,527,59906,Yes,Yes,Tier-2,No
30,67533,3,4,Professional,288937,635,37144,Yes,Yes,Tier-1,Yes
34,198672,13,1,Postgraduate,72777,757,61765,Yes,No,Tier-2,Yes
54,213938,32,1,Professional,261340,682,47000,Yes,No,Tier-2,Yes
42,233883,16,4,Graduate,175256,621,50758,No,Yes,Tier-2,Yes
41,40997,15,4,Graduate,130252,755,59941,No,Yes,Tier-2,Yes
22,89028,0,4,Postgraduate,153657,587,31739,Yes,No,Tier-2,No
39,106942,14,4,Postgraduate,0,627,31806,Yes,No,Tier-3,No
23,238440,0,3,Graduate,80337,509,36196,Yes,No,Tier-1,No
33,142235,9,2,Postgraduate,220629,553,37851,Yes,Yes,Tier-3,Yes
31,192823,8,3,Professional,51937,519,20313,No,No,Tier-1,No
60,144654,35,2,Postgraduate,0,759,63627,No,Yes,Tier-2,Yes
34,94122,9,2,Postgraduate,397380,661,18029,No,Yes,Tier-3,No
39,103229,14,4,Postgraduate,295003,616,45934,No,No,Tier-1,No
53,190009,26,4,Graduate,224120,812,35787,Yes,Yes,Tier-2,Yes
47,186326,21,4,Graduate,233789,636,5471,Yes,No,Tier-3,No
50,162469,24,5,Postgraduate,79990,819,24436,Yes,No,Tier-3,Yes
46,175787,20,2,Professional,0,779,70920,Yes,Yes,Tier-1,Yes
51,92155,30,4,Graduate,256359,835,95583,No,No,Tier-2,Yes
56,215135,33,4,Postgraduate,66880,520,49299,Yes,No,Tier-1,Yes
52,163999,29,4,Graduate,118991,653,4539,No,No,Tier-2,No
25,190593,0,1,Graduate,261206,844,64292,Yes,Yes,Tier-1,Yes
24,116006,2,1,Professional,272100,560,9521,Yes,No,Tier-2,No
54,75669,28,2,Graduate,469581,840,85457,Yes,Yes,Tier-1,Yes
59,118269,35,4,Graduate,0,776,14819,Yes,No,Tier-2,Yes
60,121468,33,4,Professional,145615,667,20489,No,No,Tier-2,No
23,199023,0,1,Graduate,87791,778,90664,Yes,Yes,Tier-2,Yes
32,86001,8,4,Postgraduate,294919,584,9239,No,No,Tier-3,No
40,110445,16,2,Graduate,109826,507,35380,Yes,No,Tier-1,No
39,158663,18,4,Postgraduate,101562,515,56400,Yes,No,Tier-2,Yes
24,58691,0,2,Graduate,292486,780,94051,No,Yes,Tier-2,Yes
49,205488,25,2,Graduate,460747,559,83835,No,No,Tier-2,No
44,71305,18,3,Professional,0,655,87751,Yes,No,Tier-2,No
38,227041,15,1,Graduate,169387,649,8416,No,No,Tier-3,No
40,183588,18,2,Graduate,206347,500,23447,Yes,Yes,Tier-1,No
58,137782,31,5,Graduate,29212,616,52100,Yes,No,Tier-3,No
55,75939,30,2,Postgraduate,104480,545,4597,Yes,No,Tier-1,No
34,47010,10,1,Graduate,13359,843,63709,No,Yes,Tier-3,Yes
23,177850,2,4,Graduate,256639,774,54142,Yes,Yes,Tier-1,No
37,74437,16,1,Graduate,86789,588,48733,Yes,Yes,Tier-1,No
24,188834,0,4,Professional,264036,619,72910,Yes,Yes,Tier-2,No
55,91314,29,2,Postgraduate,355273,648,52500,Yes,Yes,Tier-2,Yes
29,110436,8,4,Professional,15549,646,28649,Yes,Yes,Tier-3,No
49,103002,25,4,Graduate,136807,575,10770,Yes,No,Tier-2,No
21,188399,0,1,Graduate,162741,782,42583,Yes,No,Tier-2,Yes
55,98869,32,5,Graduate,93653,676,8796,Yes,No,Tier-1,No
40,121038,15,5,Postgraduate,0,732,52952,No,Yes,Tier-3,Yes
59,74334,38,5,Postgraduate,163803,646,23386,Yes,Yes,Tier-1,No
32,103279,7,5,Graduate,6217,589,57398,No,No,Tier-3,Yes
50,191892,23,1,Postgraduate,273506,837,48737,Yes,No,Tier-2,Yes
39,59542,15,4,Professional,0,540,63350,Yes,No,Tier-2,No
33,99637,11,3,Professional,42457,538,48619,Yes,No,Tier-2,No
23,162103,0,2,Graduate,0,820,50438,Yes,Yes,Tier-1,Yes
51,229054,30,4,Graduate,72531,606,38268,Yes,Yes,Tier-2,Yes
54,125127,31,3,Professional,133882,574,66047,Yes,No,Tier-1,Yes
44,201806,22,4,Graduate,247296,695,41332,No,Yes,Tier-1,No
38,27011,15,3,Graduate,202371,793,10767,Yes,No,Tier-1,No
21,173510,0,1,Graduate,309161,824,9069,Yes,No,Tier-3,No
47,32597,21,3,Graduate,118944,529,55161,No,Yes,Tier-3,No
43,179245,19,2,Postgraduate,341837,784,63516,Yes,Yes,Tier-1,Yes
42,135659,17,5,Graduate,0,808,7498,No,No,Tier-3,No
41,200021,14,4,Graduate,164799,638,2358,Yes,Yes,Tier-2,No
33,83478,11,3,Graduate,235239,837,76965,Yes,No,Tier-1,No
48,105388,27,5,Postgraduate,252613,646,77774,No,No,Tier-2,No
32,101021,7,3,Postgraduate,169362,545,31689,No,Yes,Tier-2,Yes
52,234477,25,2,Graduate,102624,574,30064,Yes,No,Tier-2,No
37,186458,12,3,Graduate,212534,759,43862,No,Yes,Tier-1,Yes
37,27384,16,1,Professional,227425,646,42510,No,No,Tier-2,No
51,115102,29,5,Graduate,159480,819,79949,Yes,No,Tier-1,No
50,242144,24,3,Professional,279545,763,86761,No,Yes,Tier-1,Yes
45,165836,24,5,Graduate,171669,534,77969,Yes,No,Tier-2,No
24,33605,0,3,Graduate,167428,758,43869,No,No,Tier-1,No
58,47031,36,1,Postgraduate,229109,687,48092,Yes,Yes,Tier-3,Yes
43,148853,17,3,Graduate,262508,730,30454,Yes,No,Tier-3,Yes
39,245472,18,1,Postgraduate,133586,553,27235,Yes,Yes,Tier-2,Yes
44,71101,18,4,Graduate,280780,763,73121,Yes,Yes,Tier-3,Yes
31,32016,7,1,Graduate,150024,653,52961,Yes,No,Tier-1,No
26,105811,5,5,Professional,148883,620,21008,Yes,No,Tier-3,No
38,138550,15,5,Graduate,222394,678,34441,Yes,No,Tier-3,No
30,96854,3,5,Postgraduate,129643,512,31796,No,No,Tier-3,No
50,227440,25,4,Postgraduate,97426,600,24005,No,No,Tier-2,No
38,131239,12,3,Graduate,166773,512,4257,Yes,No,Tier-2,No
58,143581,32,1,Postgraduate,230746,791,49377,Yes,No,Tier-1,Yes
21,99083,0,4,Graduate,130270,512,75016,No,No,Tier-2,No
30,218069,5,5,Professional,210394,637,84594,Yes,No,Tier-2,Yes
44,37828,21,1,Professional,247568,687,17193,Yes,Yes,Tier-2,No
60,233475,38,4,Graduate,121476,633,95574,Yes,Yes,Tier-2,Yes
32,71607,9,5,Postgraduate,173068,634,58547,No,Yes,Tier-3,Yes
45,53151,20,3,Graduate,137609,578,51067,Yes,No,Tier-3,No
52,99707,30,3,Professional,0,527,51429,Yes,Yes,Tier-1,Yes
46,138688,24,3,Postgraduate,189084,567,56254,Yes,No,Tier-3,Yes
58,189055,32,4,Postgraduate,105649,658,82360,Yes,No,Tier-3,Yes
31,60063,5,1,Professional,0,560,23625,Yes,Yes,Tier-1,No
38,221173,16,5,Graduate,172168,502,39853,No,No,Tier-3,No
37,228082,12,2,Professional,155755,638,43316,Yes,No,Tier-1,Yes
46,153389,22,4,Postgraduate,189821,558,30001,Yes,No,Tier-3,Yes
28,241204,6,4,Graduate,317096,686,95783,No,No,Tier-2,No
56,174092,32,4,Graduate,291033,670,26532,Yes,Yes,Tier-3,No
47,183485,22,3,Graduate,401966,509,70323,Yes,No,Tier-3,No
52,132096,27,1,Postgraduate,120356,616,5696,Yes,Yes,Tier-2,Yes
49,231803,24,3,Graduate,53523,692,89440,Yes,No,Tier-1,No
31,158943,8,5,Postgraduate,239530,781,68668,Yes,No,Tier-3,Yes
41,226165,17,2,Professional,0,540,44351,Yes,No,Tier-1,No
24,88353,0,3,Postgraduate,175637,694,93502,No,No,Tier-1,No
44,35775,22,4,Graduate,163136,747,90691,Yes,Yes,Tier-1,Yes
26,59148,5,2,Graduate,276303,602,87076,Yes,Yes,Tier-1,No
48,136435,22,3,Postgraduate,229957,842,53001,Yes,Yes,Tier-2,Yes
34,245344,8,3,Professional,205510,727,29127,No,No,Tier-1,Yes
51,220497,29,3,Graduate,0,509,29128,Yes,No,Tier-2,No
57,187917,36,1,Postgraduate,165971,550,79603,No,No,Tier-1,Yes
59,223522,33,1,Graduate,125409,668,86444,Yes,Yes,Tier-2,Yes
37,66520,13,5,Professional,141854,564,14112,Yes,Yes,Tier-2,No
38,66328,15,3,Postgraduate,142765,715,29962,Yes,No,Tier-2,No
21,64194,0,5,Professional,204575,646,37531,Yes,No,Tier-3,No
43,116649,17,3,Postgraduate,125382,613,26335,No,No,Tier-1,No
53,156184,29,5,Graduate,93550,782,18523,Yes,Yes,Tier-2,Yes
53,143639,32,3,Postgraduate,169769,583,5765,Yes,Yes,Tier-2,Yes
49,47931,24,2,Professional,145137,556,27991,Yes,No,Tier-1,No
25,87875,0,1,Postgraduate,72869,718,89728,Yes,Yes,Tier-1,Yes
36,128937,12,2,Postgraduate,354182,653,99718,Yes,Yes,Tier-3,Yes
40,220691,17,4,Graduate,395498,822,36510,Yes,No,Tier-2,Yes
56,79330,32,2,Professional,242524,564,4642,Yes,Yes,Tier-3,No
41,124575,15,4,Postgraduate,46252,800,44051,No,No,Tier-3,Yes
29,106132,3,2,Postgraduate,353446,761,75903,Yes,No,Tier-2,Yes
41,216758,17,5,Postgraduate,181662,540,77945,Yes,Yes,Tier-2,Yes
52,120667,25,1,Graduate,0,568,7039,No,No,Tier-2,No
53,111346,31,2,Professional,133914,818,16924,No,No,Tier-2,No
47,135317,24,2,Graduate,0,606,10024,Yes,No,Tier-3,No
38,168927,15,5,Graduate,189617,729,85961,Yes,No,Tier-1,Yes
38,180489,11,3,Postgraduate,257324,704,90835,Yes,No,Tier-2,No
48,224886,27,3,Graduate,0,537,15652,Yes,Yes,Tier-1,No
27,220522,2,4,Graduate,247584,568,4187,Yes,No,Tier-2,No
44,227904,19,5,Graduate,160307,794,13087,No,Yes,Tier-1,Yes
55,81358,29,1,Professional,0,586,78240,Yes,No,Tier-2,Yes
29,136900,2,5,Graduate,57957,611,56316,Yes,Yes,Tier-2,Yes
38,169989,12,1,Graduate,327321,625,32954,Yes,No,Tier-1,No
56,54345,35,2,Postgraduate,0,651,45370,Yes,No,Tier-2,No
30,33640,5,2,Graduate,82227,640,58053,Yes,Yes,Tier-3,No
49,62158,27,1,Graduate,253014,506,32009,Yes,No,Tier-1,No
45,148130,20,3,Postgraduate,121845,616,32698,Yes,Yes,Tier-1,Yes
21,146948,0,1,Graduate,281576,705,13676,Yes,No,Tier-3,No
50,59872,28,3,Graduate,74918,693,79535,Yes,No,Tier-1,No
35,181379,11,1,Professional,244384,834,51683,No,No,Tier-1,Yes
34,178407,11,4,Graduate,0,830,95305,Yes,No,Tier-1,Yes
29,39683,2,4,Graduate,0,813,36660,Yes,No,Tier-2,No
55,88972,32,4,Postgraduate,368356,570,37931,Yes,No,Tier-2,No
43,42374,20,5,Postgraduate,172876,561,58233,Yes,No,Tier-2,No
60,218594,39,5,Graduate,262957,593,78509,No,No,Tier-1,Yes
22,216665,0,3,Postgraduate,283000,561,30453,Yes,No,Tier-2,Yes
50,203860,26,5,Postgraduate,221613,768,68458,Yes,Yes,Tier-2,Yes
24,180103,0,4,Postgraduate,73024,756,5748,Yes,Yes,Tier-3,Yes
25,175331,0,2,Postgraduate,204601,716,4103,Yes,No,Tier-2,Yes
33,184973,11,2,Postgraduate,221038,537,37503,No,No,Tier-3,Yes
30,206698,5,3,Graduate,257401,642,62815,Yes,Yes,Tier-1,Yes
31,139589,4,4,Postgraduate,224648,682,98462,Yes,Yes,Tier-3,Yes
30,152314,9,4,Professional,309471,518,12922,Yes,Yes,Tier-2,Yes
43,112959,20,2,Graduate,0,550,24164,No,No,Tier-3,No
45,181685,22,3,Postgraduate,166940,654,48646,No,Yes,Tier-3,Yes
43,141136,20,1,Postgraduate,60901,563,74518,Yes,Yes,Tier-2,Yes
37,135684,11,2,Graduate,91763,611,14192,Yes,No,Tier-3,No
50,224298,26,2,Graduate,178958,729,55027,Yes,No,Tier-1,Yes
40,48559,15,2,Graduate,11878,627,53539,No,No,Tier-2,No
47,130686,20,1,Professional,184638,763,35998,No,Yes,Tier-1,No
32,103768,11,2,Professional,158973,510,50225,Yes,Yes,Tier-1,Yes
58,27775,36,4,Graduate,190041,795,92695,Yes,Yes,Tier-2,Yes
28,202244,2,4,Postgraduate,152465,527,17408,Yes,Yes,Tier-3,Yes
24,69254,2,2,Postgraduate,252128,689,12692,Yes,No,Tier-1,No
43,175592,16,2,Postgraduate,330068,605,43185,Yes,No,Tier-2,Yes
60,98616,33,2,Graduate,296862,836,88055,Yes,Yes,Tier-2,Yes
32,139091,6,3,Postgraduate,166418,748,22527,Yes,Yes,Tier-2,Yes
60,59700,35,1,Postgraduate,357493,687,3881,No,No,Tier-3,No
33,223303,10,4,Graduate,158913,630,31932,Yes,No,Tier-2,No
28,88293,7,3,Professional,113423,814,51500,No,Yes,Tier-2,Yes
41,232609,17,4,Graduate,238669,626,4985,No,No,Tier-2,No
53,94504,26,5,Graduate,249495,608,79485,Yes,No,Tier-2,No
57,247704,33,1,Postgraduate,146720,501,78533,Yes,No,Tier-3,Yes
49,189957,27,5,Postgraduate,3827,642,97432,Yes,No,Tier-1,Yes
50,78664,29,4,Professional,228420,500,76795,Yes,No,Tier-1,Yes
53,44692,27,1,Postgraduate,52248,820,98362,No,No,Tier-2,Yes
37,141192,15,5,Professional,84448,555,47397,Yes,Yes,Tier-3,Yes
55,38682,32,1,Graduate,295014,505,13410,Yes,Yes,Tier-2,No
24,69757,2,1,Graduate,354339,557,97500,Yes,No,Tier-2,No
39,243297,15,3,Graduate,252024,709,34551,Yes,No,Tier-3,Yes
58,200595,35,1,Graduate,95464,683,5358,Yes,No,Tier-2,No
44,80805,18,2,Professional,0,710,10002,Yes,Yes,Tier-3,Yes
55,217971,34,5,Graduate,252457,674,8305,No,No,Tier-2,No
21,182249,0,3,Graduate,296769,713,15780,Yes,No,Tier-1,No
35,50901,14,5,Postgraduate,118937,569,37440,Yes,Yes,Tier-1,Yes
41,169098,15,3,Graduate,229765,699,57798,Yes,No,Tier-1,Yes
57,45922,32,5,Graduate,160916,558,97745,Yes,Yes,Tier-2,No
32,29006,10,5,Postgraduate,190101,719,71497,No,Yes,Tier-2,Yes
54,195526,30,1,Postgraduate,131368,777,88567,No,No,Tier-1,Yes
41,30454,20,3,Graduate,288427,516,61993,Yes,No,Tier-1,No
